gene	EPI_E5	PE_E5	EPI_E6	PE_E6	EPI_E7	PE_E7
ACTG1	1608.8	1896.9	1254	1291	1614.2	2330.9
TERF2	7.7	6.3	6.9	7.8	7.1	5.6
STAG3L5P	0.5	0.7	0.7	1.1	1.3	0.6
DTX4	3.2	2.7	3	4.2	2.7	3.2
NF1	2.2	1.9	2.2	3.5	2.9	3.8
HAAO	0.8	1.9	1.5	0.6	0.8	1.3
SLC29A3	6.6	7.1	6.1	8.1	7.4	7.9
ZNF234	2.5	2.1	2.6	3.1	2.3	2.5
RPL29	440.8	426.2	563.4	481.5	534.5	531.9
SRCAP	12.2	10	17.4	14.6	13	14.2
ZFP82	5.5	10.1	6.5	10.2	6.2	6.6
SNAP29	6.3	6.2	7.1	4.6	9.3	8.3
SPDYA	0.5	0.7	0.6	1.2	1.3	1.1
THOC6	84.2	82.8	65.8	86.1	81.1	79.1
SERINC4	1.7	0.3	0.5	1.2	0.7	1.5
EXOC3	9.4	8.5	6.5	10.1	6.5	7.1
TES	21.2	26.6	31.8	45.1	50.6	47.8
SMIM19	52.5	56.3	34.2	29.6	29.2	28.5
MTMR10	3.8	2.6	2.7	4.1	6.8	6.8
KIAA1257	2.1	0.8	1.2	0.4	0.7	0.4
RPL7	3.9	3.9	2.2	4.3	3.2	2.6
SLC25A3	673.3	696.2	713.6	710.4	689.8	710.2
HSPA9	188.3	219.7	208.7	221.7	207.1	197.2
NPM2	2	1.1	0.1	0.2	0.1	0.2
GTPBP4	67.2	84	91.3	130.5	95.2	95
STK35	9.5	10.9	12.4	8.7	9.2	8.6
PEF1	51.5	56.1	47.3	52.3	54.8	48.4
CCZ1B	1.3	1.3	1.2	1	1.5	1.3
TIMM21	71.8	71.5	49.1	62.2	49.9	47.4
EBLN3	7.8	7.7	7.3	10.3	9.7	9.8
EPB41L4A	3.2	3.3	3.6	4.9	3.2	3.7
DNAJC9	49.1	57.6	56.4	73.4	68.2	73
PLCL1	0.4	0.3	0	0	0	0
ANKEF1	1	0.8	0.7	1.2	2.2	1.7
SLC6A13	0.3	0.2	0	0.2	0.4	0.4
LOC100506083	1.2	1	0.5	0.4	0.9	0.5
BCL2L14	0.5	0.2	0.2	0.3	0.4	0
UTP14C	3.3	3.1	5.2	7	5.7	5.3
BCCIP	132.8	149.4	159.4	223	197.8	213
TMC1	0.7	0.6	0.7	0.6	0.9	0.6
ARPC4	241.5	225.9	256	227.6	232.8	227.7
ISY1	11.4	11.5	11.9	16.3	15.2	14.4
SLCO3A1	0.1	0.1	0.1	0.2	0.2	0
SDHD	108.4	144.4	106.5	153.8	109.2	105.8
WDR43	76.4	81.1	78.6	117.5	85.5	84.7
COX5A	878	951.6	1020.5	947.7	911.7	911.2
RPS25	1116.3	1278.2	1090.6	1020.9	1140.6	1182.7
ELMO3	1.9	1.9	3.4	2.4	2.1	2.1
FAM216A	4.5	7	7	9.9	14.2	12
PPIH	126.5	103.7	95.1	100.3	95.6	116.4
AQP6	0.6	0.7	0.5	0.6	0.4	0.6
TRIM62	0.2	0.5	1.4	1.3	0.6	0.6
ATP8B1	5.4	6.1	6	5.8	3.4	2.1
POLB	24	24.5	17.4	24.6	34.8	34.6
PITRM1-AS1	1.1	1.2	1.4	0.5	0.8	0.9
LINC00278	0.1	0.3	0	0.6	0.9	0.7
TNFAIP8L2	0.3	0.1	0.3	1.1	0.6	0.5
ZNF876P	3.7	4.7	3.9	5.3	5.2	4.6
TMEM74	0.4	0.5	0.3	0.7	0.9	0.1
GIT2	11	8.1	4.1	6.5	5.6	5.3
FIZ1	0.3	0.5	1.3	0.7	0.9	1
JPX	9.9	10.3	13	10.3	7.5	5.8
LINC00174	1.3	0.6	0.6	0.5	1.1	0.9
NPLOC4	25	20.5	23.3	20.1	25.1	21.8
C16orf52	1	0.4	1.2	1.5	1.5	1.7
CCR3	0	0	0.1	0	0.6	0.3
SUCLG2-AS1	0.4	0.3	0.7	0.9	0.3	0.3
CYSTM1	94.4	85.6	73	66.2	70.1	52.7
SOCS7	3	3.5	3.6	4.4	3.3	3
EBLN2	2.3	3.4	3.3	2.9	2.1	1.3
DCAF8	20.6	19.4	22.9	19.5	18.5	16
RBM48	10.4	13.8	11.4	16.7	16.3	15.6
RBM15B	5.5	5.2	10.9	7.3	10.5	9.9
ATP5L	424.8	415.5	427.9	404.6	325.6	357.9
MMAA	0.4	1	0.4	0.7	0.5	0.4
MED18	15.1	14.7	17.8	19.4	18.4	14.5
OPLAH	0.7	0.6	0.4	0.2	0.2	0.2
COASY	77.5	81.7	73	84.4	90.7	81.8
C16orf13	80.7	74.1	116	100.7	81.7	77.1
SH3BP1	1.3	0.9	3.3	1.8	1.6	1.2
S100A3	0.3	0.4	0.1	0.2	0.2	0.2
RAB10	42.8	40.8	45.3	38.6	59.7	58.8
L3MBTL3	1.9	1.4	1.7	1.2	0.7	0.7
SNORA8	23.9	15.6	22	14.5	18.2	19.6
LINC00189	4.1	2.2	2.1	1.4	2	2.1
NMRAL1	40	36.5	41	42.1	36.1	33.7
PPIL4	20.6	22.3	22.3	30.4	26.2	25.9
RRP7A	57.1	43.7	31.9	36.8	38.9	38.3
TRAF5	1.8	0.9	0.9	2	0.5	0.7
ZNF2	1.1	0.9	0.5	1.3	0.9	0.8
GFM1	21.6	30.1	27.7	38	25.8	28.4
G6PD	20.9	25	39.9	24.9	22	22.8
SLC39A2	0.1	0.6	0.2	0.9	0.1	0.1
PUS1	39.2	35.4	49.2	37.1	36.2	39.6
SLC6A16	0.3	0.1	0.6	0.3	0.2	0.3
DHDH	1.6	1.1	2.2	3.3	1.3	1.2
RELL2	0.1	0.1	0.9	0.3	1.8	1.9
PAK1IP1	78.6	88.8	92.8	141.7	123.8	125.9
KRI1	31.2	33.7	31.2	28	34.5	30.3
LOC101927284	0.5	0.4	0.2	0.2	0.2	0.3
RNF2	21.8	25	25.5	25.4	23.8	21.1
GABBR2	0.7	0.7	2.5	3.9	0.8	1.1
ZNF280D	0.7	0.6	0.3	0.2	0.5	0.3
IKBKAP	8.2	7.4	11.1	14	12.7	14.3
HMOX1	68.2	78.9	103.2	135.5	362.1	395.9
SERPINB8	0.5	0.2	0.5	1.4	2.2	2.8
METAP1	44.6	51.6	45.7	59.1	48.1	52.6
FKBP14	1.6	1.6	2.9	4.2	4.3	4.1
SUPT4H1	88.6	94.7	131	161.1	105.7	123.8
KBTBD7	3.9	4	2.6	4.9	3.7	3
GATAD2A	17.4	16.4	22.2	20	20	23.3
DAXX	84.7	74	68.9	66.1	89.2	69.6
TRPM5	0	0	0	0	0.2	0.1
DESI2	24.4	17.7	22.1	20.8	23.6	22.5
ARPC2	506.3	571.5	480.8	574.6	459.9	545.9
ENTPD7	1.3	1.9	2	3	2.6	3
RAB11B-AS1	0.6	1.7	1.5	0.6	0.9	0.7
DIEXF	4.9	4.2	6.6	8.2	5.8	5.9
CAD	14.3	11.3	14.2	15.4	18.3	15.9
MPG	21.1	26	38.3	25.5	36.4	31.5
ZNF517	0.5	0.3	0.3	0.1	0.2	0.1
LOC100379224	0.6	0.3	0.9	1.2	1.8	1.1
LOC256880	0.4	0.1	0.8	0.3	0.3	0.4
SGTA	74.4	81.6	80.9	102.9	91.8	90.5
CAMK1	0.6	0.2	1.9	0.6	0.3	0.4
DDIT4	42	29.7	131.3	159.1	96.4	118.1
ITGB1BP2	1.1	1.6	0.6	1.9	1.1	0.6
FBXL18	3.4	2.7	2.8	3.5	3.9	3.9
LCORL	4.3	6.1	6	5.3	3.6	5.4
ATP11B	3.4	3.2	3.3	5.4	2.4	2.4
SSH3	0.5	0.5	1.8	2.2	2.7	1.6
LOC391003.uid_852	2.4	2.5	1.2	0.3	0	0
SLC16A5	3.4	2.5	4	3.3	2.3	1.4
HDAC1	98.3	108.1	115.3	164.7	125.3	133.6
MRPL48	168.6	176.4	144.5	116	76.5	63.7
FRRS1	0.8	1	0.5	1.6	1.3	1.8
LOC284930	0.6	0.9	1	0.8	0.3	0.3
MIR1292	19.4	23.9	27.1	16.3	28.4	30.8
PLD3	21.6	16.4	20.1	23.4	39.5	36.5
ASUN	16.1	20.6	14.4	20.4	17.8	17.3
ANKRD12	3.1	3.5	4.6	6.5	5.8	6.2
NDUFA9	194.4	178.2	151.7	162.1	132.7	122.2
SNORA52	7.6	7.1	10.4	12.3	10	16.5
KLRAP1	0.3	0.3	0.4	0.4	0.2	0.4
C2orf48	6.9	5.4	2.2	4.9	3.8	3.6
TBC1D10B	15.5	10.9	13.8	9.1	11	11.9
ACTA1	0.2	0.3	0.3	0.7	0.4	0.5
CLEC4C	0.2	0.4	0	0.2	0.3	0.1
CCHCR1	18.2	17.5	10.1	4.9	7	6.7
BLOC1S1	178.3	132.5	161	113.5	115.2	122.6
RPS29	1346.4	1254.5	1391.6	1292.1	1436.3	1481.1
TAS2R14	0.1	0.3	0.5	0.2	0.7	0.3
PCCB	60.2	57.5	44.5	57.7	43.7	44.4
TTYH2	0.2	0.1	0.2	0.2	0.1	0
SMAD4	4	3.7	4.4	4.9	4.7	4.9
NLGN4X	1	0.7	1.3	0.6	0.5	0.8
BAZ2A	11.9	11.1	11.3	8.7	10	11.1
FOSB	0.2	0.1	0.1	0.5	3.6	5.3
CPSF7	16.4	12	18.2	17.1	16.2	17.6
MPDU1	73.1	76.6	90.4	113.7	99.1	99.6
FAN1	2.5	3.5	3	2	1.5	1.5
DLG5-AS1	0	0	0	0.3	0.6	1.1
LOC100289361	4.8	4.2	2	3	2.4	0.9
MAP3K3	4.2	4.9	2.3	1	1.8	1.5
CCDC126	12.5	15.3	10	13.1	11.4	10.3
GS1-259H13.2	0	0	0	0.1	0.3	0.4
CRTC3	2	1.5	1.6	3.1	5.6	5.6
UCHL3	85.8	102.6	108	151.2	117	108.5
MLLT1	7	3.9	6.6	5.5	15.7	15.5
TIGD3	0.1	0.1	0.3	0.4	0.4	0.5
METTL21B	0.3	0.1	0.4	1.1	0.9	0.6
ITPKA	0.8	1.1	1.3	0.5	0.6	0.4
LOC641515	0.3	0.5	0.1	0.2	0.2	0
ADPRHL1	1.2	1.8	1.9	1.2	0.8	0.7
CS	78	81.9	84	73.3	58.5	62.2
ZNF195	23.6	24.4	26.8	34.1	28.4	30.8
RPS15A	600.2	559.1	651.1	554.1	668.8	698
NEFM	0.8	0.7	1.3	0.5	0.5	1
ANAPC2	1.8	1.7	2.7	1.4	2.1	2.7
LUCAT1	2.9	2.8	1.5	2.3	1.4	1.8
TPM3P9	4.1	5.3	3.5	5.6	5.5	6
MRPL15	236.4	219.8	169.9	151.7	139.7	141.8
TNFRSF10C	0.2	0.3	0.3	0.1	0.8	1
FBXL14	1.4	1	1.2	1.1	1.7	1
SFN	6.5	8.6	10	14.4	14.3	14.5
LOC100130093	5.1	3.6	3.6	2.2	2.7	2.7
ARGLU1	61.1	68.9	87.7	96.1	70.4	80.5
MKS1	15.8	15.1	9.3	9	5.7	8
LOC101929162	0.3	0.2	0.4	0.5	1.1	0.4
SLC35C2	11.6	16.2	11.9	12.7	21.1	21.8
TCEAL4	5.9	3.3	3.4	2.7	4.2	3.8
CAPN10-AS1	0.2	0.7	0.9	1.7	1	1.5
MPZL3	0.2	0.3	0.5	1.5	1	0.7
ELP5	70.4	70.1	66.6	87.4	72.1	66.6
PPP1CB	41	53.6	68.3	107.1	121.7	108.4
PSMD7	234.2	229	204.2	215.9	217.3	190.8
ANKLE1	0.5	0.8	3.3	3.4	5.2	3.5
GLUL	156.5	177	109	112.1	92	115.3
RAD52	5.9	6.3	4.5	5.8	2.5	3.6
MIR6790	23.1	22.8	21.4	12.3	17	19.5
CMC4	12.7	10.5	13.5	9.6	9.1	9.7
AK6	91.8	92.5	113.2	153.4	108.6	125.7
NUP107	31.1	33.3	29.8	40.8	33.5	33.5
SPTLC3	0.4	0.2	0.3	1.2	1.2	1.4
MLST8	63.3	60.1	81.5	54.5	61.6	56.3
PTAFR	0.3	0.1	0.4	1.4	0.5	0.4
LOC344967	3.1	2.4	3.4	3.5	5	2.9
C21orf33	92	78.6	98.5	88.7	58	52
RUNDC3A	0.6	0.2	0.8	0.5	0.8	0.4
MCM8	9.2	6.8	5.5	9	6.1	6.7
MRE11A	5.8	6.3	5.8	7.8	6.3	5.9
KPNA1	12.4	17.3	12.8	16.7	11.7	11.7
EIF4G2	286.4	329.9	277.1	451.6	421.9	483
POLR2K	114.4	122.1	152.5	210.4	179.4	181.7
CNIH2	0.3	0.2	0.4	0.8	0.6	0.3
FBXO42	7.5	8.8	6	8.4	6.7	7.1
ZNF568	3.3	4.8	4	3.2	2.6	1.4
RBBP5	17.1	17.8	13.9	16.7	13.5	13.2
AP4S1	1.3	1.6	0.9	2.4	1.8	2
KIF2C	45.3	46.5	47.2	58	64.6	57.8
MIR1304	8.3	8.7	6.5	4.5	5.6	5.6
ANO7	1.2	0.7	1.8	2.7	1.1	1.4
CROCCP2	2.9	5.3	4	7	5.8	6.1
ODF2	14.5	19.4	9.8	13.3	14.6	15.8
TRIM60	62.6	56	45.1	33.7	32.6	28
SLC39A4	48.9	51.8	37.5	37.2	37.2	32.3
MARS2	11.1	10.3	9.6	12.6	10.9	8.7
SCMH1	0.5	1.1	0.9	1.4	1.4	2
LRRN4	0	0.3	0	0.5	0.2	0.1
SLC25A15	3	3.1	1.2	1.6	1.7	1.9
POLR2D	48.5	57.9	57.4	72.5	65.4	66.8
VPS33B	5	6.9	4.6	6	4.9	5.5
SPCS1	288.2	307.5	309.4	362.5	371.3	334.4
ZSCAN21	13.2	15.6	8.5	7.2	9	8.8
KIAA1147	0.2	0.1	0.3	0.4	0.2	0.4
CBY1	24.4	22.1	21.2	15.7	13.7	13
SUCLA2	42.8	53	64	57.3	53.3	50.5
USP14	32.3	37.4	41.8	55	51.7	57.7
NUDT22	31.1	27.2	36.7	26.1	34.6	32.4
C15orf40	23.6	27.2	22.8	17.5	23	21.2
LCA5L	0.2	0.3	0.3	0.3	0.2	0
ZNF780A	1.8	2	1.3	2.6	2.6	2
FRG1B	29.7	30	26.4	21	19.8	19.9
CNOT1	22.3	19.3	24.3	23.7	20.2	17.2
TMEM204	0.1	0.2	0.1	0.1	0	0
SHMT1	43.5	50.4	51.6	49.8	57	52
SREBF1	3.4	3.6	7.8	7.6	9.3	10.3
CTSC	282.1	357.7	390.8	341.3	235.7	236.7
PA2G4P4	10.9	10.3	10.9	13.1	13.1	13.3
CDKN2AIP	11.9	10.9	13	13.4	13.8	16.1
SNRPD3	117.6	106.5	112.9	103.7	112.3	104.9
HIST1H4H	2	2	3.2	1	9.1	11.9
CNKSR1	1.8	1.8	2.6	4	5.6	6.1
MESDC2	43.8	51.1	51.6	68.9	43.7	40.4
RGS7	0.2	0.1	0.3	0.1	0.2	0.2
RAB11FIP1	9.7	10.5	19.9	29.6	33.1	35.2
BATF	2	0.9	1.3	3.7	8.7	11.6
RAN	741.9	814.9	747.5	878.4	833.1	782.4
DEDD	33.4	32.2	37.3	47.2	39	36.9
HHLA2	0.1	0.3	0	0	0	0
METTL14	14.1	15.3	13.1	16.3	17.6	16.7
HMGB3	115.7	134.6	118.3	111.9	77.4	75.6
ALAD	31.7	28.5	28.1	38.4	17.6	18.7
STK25	33	27.4	41	35.1	27.8	31.9
PIGU	16.2	10.4	10.9	11.1	9.5	10.8
CLPX	45.9	56.5	49.9	41.2	50.7	44.8
SH2D4B	0.7	1.4	0.3	0.2	0.4	0.3
NOC2L	47.6	48.1	40.1	48.2	48	47.3
ZNF484	1	1.3	1.3	2.7	1.3	1.6
SNORD96A	34.1	21.2	26.7	15.7	18	20.3
PROM1	63	88.1	84.5	129.7	42.9	46.2
TRAPPC2P1	16.3	25	17.4	24.1	29.7	28.8
CSGALNACT1	0.1	0.3	0.7	1.1	1.1	1
GAS5	265.7	264.1	251.5	207.8	208.8	202.1
ASB13	0.1	0.4	0.4	0.1	0.2	0.4
SPINT2	368.7	396.6	447.2	416.4	553.3	583.1
ACAP2	6.2	7.2	5.5	5.2	6.2	5.8
COPS2	22.8	22.6	22.1	29	28.8	29.4
PTGDS	0.1	0.3	1.1	1.5	1.8	0.8
ZNF783	5.5	3.7	2	1.4	0.8	0.8
SPINT1	64.7	46.2	77.6	73.3	162	163.5
CDCA8	54.2	65.4	46.6	62	62.4	58.4
STAT2	6.4	8.8	6.5	5.6	6.1	4.7
PSMD11	111.4	120.4	116.8	173.7	161.8	164.1
MAML1	5.8	5.4	10.8	7.6	7	6.3
PTCD3	24	26	24.4	33.5	24.6	23.5
FBXO38	3.8	4.4	5.1	6.8	5.3	5.1
SNORA76C	7	4.8	9	5.7	8.7	7.5
TPGS1	1.2	0.6	1	0.3	0.5	0.5
FDFT1	131	162.3	144.2	164.3	96.8	73.4
CEP76	8.3	9.7	7.9	10.2	10.6	10.8
ARSB	0.4	0.3	1.4	2	2.8	2.4
FABP6	5	3.6	1.8	1	2.3	1.8
TFE3	10.7	8.1	14.6	9.9	8	8.9
ZNF329	0.4	0.6	1.1	0.6	0.4	0.4
LOC100506321	0.9	1.1	2.3	1.1	1.3	1.2
MKNK2	14.7	11.5	26.2	20.9	19.6	21.3
RRAGB	3.4	4.9	3.2	2.7	3.1	3.2
PSMB5	456.3	528.9	559.8	852.7	846.6	848
ARRB2	3.8	3.7	6.2	3.8	3.9	5.2
GRIPAP1	15.1	10.7	14	13.2	11.2	8.7
TRIM17	1.2	1.3	2.1	0.7	0.6	1.4
TMEM54	42.2	32.5	62.5	26.9	34.6	45.1
GYLTL1B	23.1	18.1	40.5	36.5	33.8	27.4
MTRR	10.4	12.5	12.9	17.7	11	10.3
PML	3.9	2.7	4.5	2.7	4.9	5.4
AFAP1L1	0.8	1.6	2.5	1.2	6.1	5.7
URB2	5.2	5.6	7.7	10.4	9	9.8
PSMA4	357.1	379.6	317.4	460.1	511.7	493.5
SRSF1	83.1	103.5	86	106.5	101.2	96.1
SV2A	0.1	0.2	0.2	0.3	0.1	0.7
KIF18B	6.1	5.8	7.5	9.7	8.1	9.4
TIAF1	1.1	2.4	0.1	0.4	0.6	0.2
CYP8B1	0	0.1	0.7	0.3	0.1	0
ZNF560	2.5	2.9	4.3	3.6	4.5	2.5
APEX2	36.6	41.1	27.1	32.2	31.6	30.8
SNORA74B	0.3	1.1	3.8	1.3	0.7	0.9
TSTD3	1.4	1.8	1.1	2.1	2.4	1.6
DBF4	11.8	11.5	12.5	15.7	13.4	12.7
LINC01278	4.2	4.2	4	4.7	4	4.4
LIN52	8.4	7.9	6.2	10.2	10.5	8.5
RNF41	4.3	5.8	7.1	9.3	9.9	9.6
RPS7	82.7	79.7	77.8	60.4	81.2	77.2
XKRX	0.2	0.5	0.3	0.1	0.1	0.1
YLPM1	8.3	7	5.9	8.6	6.5	6.3
PTCD1	10.8	14.3	5.8	3.8	7.9	6.7
C3orf62	0.8	0.3	0.7	1.8	0.6	0.7
EEF1D	388.8	341.9	387.6	352.6	382.1	396
WWTR1	42.6	43.1	29.4	34.9	30.7	33.6
SYCP1	0.1	0.1	0.1	0.2	0.1	0
HDGFL1	0.5	0.4	0.4	0	0.1	0
PGPEP1	1.1	1	1.4	0.8	1.2	0.8
MPHOSPH10	34.8	35.7	32.2	43	39.8	40.8
AFF1	8.1	6.5	7	5.4	6.3	6.2
NME2.uid_22046	180.6	168.7	201	140.4	168.5	155.6
SUV39H2	10.1	11	9.4	12.4	13.1	13.2
ZNF200	15.7	14.5	19	13	18	16.7
PTPRK	1.9	1.8	1.2	1.7	1.9	1.8
PET117	57.8	51.4	31.4	24.4	25.3	25
COPB1	36.2	48.6	39.4	55.2	39.2	42.7
PAQR7	2.4	1.7	2	3.3	4.2	3.8
METTL7B	1.4	0.3	0	0.2	0.6	0.5
MTFP1	129.9	106	108.4	89.2	81.2	75.5
EPHA2	0.3	0	0.1	0.4	2.7	2.6
NR2C2AP	24.4	29.1	32.3	38.8	44	40
TRMT5	4.5	6.6	4	6.1	4.6	4.1
UBXN7	7.7	9.8	7.7	9.6	9.4	9.1
HLTF	9.7	12.6	6.8	4.5	7.3	6.9
RPS20	745.8	714.7	706.6	664.9	716.9	751.6
STRIP1	15	13.8	11.9	9.4	12.6	11.1
DHTKD1	7.9	7.2	7.5	9.6	8.8	8.1
ARL13B	4.8	4.4	4.5	4.9	4.1	3.7
MAGEA4	35.8	50.1	26.3	33.6	5.7	3.6
TMEM251	38	36.3	32.8	41.6	35.8	38.2
TMED10	40.5	44.8	42.8	58.6	56	53.7
GYS1	17.8	18.2	17.5	22.1	22.8	24.2
HIST2H2BA	1	1.1	0.3	0.1	0.1	0.1
SLC6A3	0.7	1.2	1.2	0.6	0.4	0.5
WDR73	25.9	26.6	26.8	31.7	33.4	36.9
NOSIP	151.6	151.2	124.2	165.3	144.7	146.5
SREK1	15.3	15.8	13.5	18.3	15.7	16.1
KAT2A	14.7	11.6	14.5	13.2	8.7	10.9
RNF212B	0.5	0.6	0.2	0.8	1.4	0.9
WDR37	2.1	1.7	2	2.5	2.3	2.5
C12orf40	0.2	0.5	0.2	0.2	0	0.6
TOM1L2	1.2	1.8	1	0.5	1	0.8
QSER1	0.9	0.4	1.5	1.5	1.9	2
RRP8	20.8	24.1	18.3	23.6	16.4	13.3
LRRFIP1	20.3	18.9	28.5	38.6	26.1	30.8
GPSM2	0.9	0.5	0.6	1.6	3.7	4.1
EIF1B	151	193.7	139.5	189.3	190.1	215.8
CUTC	41.3	50.3	45.3	42.4	45.8	37.5
COPS8	30	39.3	28.2	35.4	29.9	33.1
SNORD17	118.5	105.9	72.4	56.6	43	60.1
ERCC5	3.9	3.9	1.5	2.4	2.3	4.6
SGK223	1.5	1.5	2.6	1.5	2.4	2.3
WDR74	147.8	138	151.2	196.9	183.7	176.2
RAB6B	0.6	0.4	1.1	0.5	0.7	0.6
DPM2	39.8	40.7	50.8	52.4	58.3	51.3
MOGS	16.3	10.3	15	17.5	19.4	20.7
GUSBP4	2	3	1.8	1.1	1.1	1.3
GPATCH2L	1.3	1.4	1.5	2.1	2.3	2
NRBP1	178.6	191.3	151.5	130.4	146.6	140.8
AKAP11	1.4	1.2	2.5	1.3	1.4	1
DLK2	0.8	0.6	0.1	0.8	1	0.8
TTPAL	2.4	2.7	2.5	3.2	2.7	3
ANAPC10	19	23.7	23.9	28.9	26.1	26.8
DCT	0.1	0	0	0.1	0	0
MARCH7	25.3	30.2	26.9	37.6	28.9	34.6
COL4A3BP	20.3	19	14.5	11.7	14	13.6
ATPIF1	293.4	314.5	413.8	333.9	377.8	390.2
MRPL27	365.2	355	273	345.4	306.9	322.5
DLAT	57	58	43.5	55.3	42.6	43.7
RHOA	297.1	342.1	345	336.5	369.5	383.4
PNMA5	8.1	6.2	0.3	0.2	0	0
STX18	19.2	22.5	20.8	20.8	16.5	13.4
ZKSCAN2	1	1	1	1.7	1.6	1.4
RHBDF1	3.3	3.5	1.9	1.7	3.4	4.5
INPP4A	1.8	2.7	2.1	1.3	3.2	2.7
IRAK4	1.8	2.6	1.3	2.4	1.9	2.1
C11orf65	1	0.7	0.4	0.1	0.3	0.1
PPIE	32.9	49.3	31.8	44.5	36.2	33.7
FAM195B	14.8	20.8	36	32.2	56	59.3
HEXA	24.6	29.2	26	32	32.4	28.1
PRAMEF12	0.4	0.4	2.8	0.4	0	0
ERMAP	0.8	0.6	0.4	1.1	0.7	0.7
GCSAM	0.1	0.4	0.5	0.3	0.7	0.2
MICU2	22.6	23.5	31.1	24.9	36.1	38.5
SPIRE2	0.8	0.9	1.2	1.1	2.3	3.5
CDO1	3.5	6	4.3	7	16.1	16.5
CD200R1	1.7	1.2	1.7	0.4	0.9	0.5
RNF20	17.3	15.8	11.9	14.8	14.2	10.6
THOC1	20.3	24.7	21.9	31.4	22.9	21.3
MCPH1	12.5	12.9	9.9	14.8	11.7	13.8
SETD5	12.8	11.3	13.9	10.5	12.6	14.2
GALT	19	26.3	21.5	25	21.1	22.7
GDAP1	1.4	0.7	0.5	1	1.7	1.2
TMEM247	1.1	1.9	1.4	2.4	6.3	8.1
GALNT18	1.1	1.8	5	3.7	5.5	5.5
NDUFA4	278.3	299.1	351.1	355.1	315.7	306.3
C7orf25	4.9	4.7	4.1	4	7.2	5.4
PRMT2	14.6	17	16	12	9.5	12.2
HIST1H2BB	2.9	0.7	0.4	0.5	6.6	5.7
ATAD3C	0.6	0.2	0.6	0.5	0.6	0.6
CINP	84.5	86.2	64.5	62.7	68.7	55.6
TFIP11	31.4	31.7	22.5	27.2	28.1	26.4
MED24	18.3	13.9	15	16.8	18	17.6
NHLRC2	2.8	2.8	3	1.8	2.6	3
BMPR2	1.2	1.6	2.3	2.4	2.9	3.2
TMEM115	23.1	24.7	22	17.4	27.6	34.2
DHX40	10.7	7.7	7.7	10.2	8.7	7.8
PAM16	20.3	19.4	20.3	18.6	26.4	26.9
AQP11	1	2.2	2.4	1.5	3.6	2.9
CASC10	0.2	0.4	0.8	0.2	0.9	1.1
ZNF815P	0.4	0.2	0.4	0.3	0.2	0.3
MRPS6	86.3	98.5	108	130.8	149.7	142.2
USP8	14.1	16.3	12.5	15.6	14.9	15.8
TMX2	155.1	167.9	171.3	216.6	180.8	173.2
SMTN	5.7	6.9	6	7.7	7.7	8.1
SNAI1	12.1	20.2	7.5	15.7	24.3	25.5
COG1	9.6	10.5	5.7	6.8	8.4	7.5
MIR4668	9.5	7.4	11.1	8.2	7.8	8.1
STAM	15.5	17.8	15.4	19.3	16.3	15.4
C12orf57	166.1	162.5	177.1	126.1	175.9	156.8
RND3	0.2	0.4	0.4	0.7	0.5	0.6
DCAF11	11.8	12.8	10.2	12.7	13	11.8
FNBP4	22.7	19	27.1	21.9	26.8	27.9
LINC01118	0	0	0.2	0	0	0
LOC101927275	0.1	0.3	0.2	0.7	1.1	1.4
MED14OS	0.1	0.1	0.3	0.1	0.9	1.2
KLHL7	34.3	37.7	31.3	33.8	39.8	43.1
USP22	70.4	66.2	74.8	67.9	48.5	45.4
CCDC27	0.6	0.1	0.1	0	0	0
C17orf58	6.7	9.6	11.1	15.1	15.1	14.5
EZH1	0.7	1.2	0.8	1.5	1.8	1.6
RBBP6	17.8	15	15.8	17.1	12.1	13.8
ZNF7	15.4	17.7	14.1	10	9.3	6.9
ARHGAP23	0.8	0.9	1	0.9	0.8	0.7
C10orf32	5.2	5.6	8.7	9.5	8.4	9.3
TCERG1	35	29.2	45.1	37.3	46.5	49.3
NEK1	7	9.1	4.6	4.7	3.9	5
ILF2	316.5	365.1	323.3	486	379.3	385.2
TMOD1	8.2	10.4	6.2	4.4	1.7	2
PI4KAP2	3.2	2.7	4.1	4.5	2.2	2.3
NT5DC2	6	4.3	9.9	13.1	14.6	18.8
APOOP5	2.2	1.9	2.2	1.6	1.8	1.5
SRP19	57.7	61.2	84.5	110.1	130.6	129.1
TAF1A	4.8	3.7	7.3	10.8	8.2	8.4
ANKRD42	1.7	1.4	1.2	2	2.4	2.1
MPHOSPH9	4.7	4.8	3.1	3.2	3.7	2.4
SPIN2B	0.8	0.2	0.5	0.3	0.4	0.4
EXOC1	8.6	8.4	6.6	9.3	7.5	6.7
TBC1D7	51.6	50.2	39.7	49.7	32.3	31.4
TTLL9	0.3	0.5	0.5	0.2	0.3	0.2
FAM120AOS	10.4	11.4	11	10.5	12	18.1
ING5	3.3	2	3.5	4.5	4.6	4.7
LOC90834	1.3	0.4	0.6	0.4	0.5	0.5
ZNF45	1.9	2.4	2.6	4.1	3	2.9
SLC45A3	0.2	0.2	0.2	0.1	0.3	0.2
IMPDH2	293.8	311.8	376.8	549.1	430.8	481.5
HERC2P10	0.2	0.2	0.3	0.1	0.8	0.1
TSEN15	14.3	14.6	13.2	18.7	7.4	7
SRRM2-AS1	1.1	0.3	0.2	0.4	0.4	0.9
EXOSC10	49.1	61.8	52.8	69.7	61.1	62.5
